petAge,petGender,petBreed,PetCancerSuspect,Note,PetRiskValue
1/4/13,MN,Hungarian Short-Haired Pointer (Vizsla),No,NA,-0.008
22/05/2022,M,Golden Retriever,No,NA,-0.008
11/8/13,MN,Miniature Pinscher,No,NA,-0.008
1/6/23,FS,French Bulldog,No,NA,-0.008
15/10/2014,NA,German Shepherd Dog,No,NA,-0.007
1/1/14,NA,American Staffordshire Terrier,Yes,NA,-0.007
1/1/16,F,Mastiff,Yes,NA,-0.007
23/06/2012,F,Border Collie,No,NA,-0.007
11/9/23,FS,Australian Cattle Dog,No,none,-0.007
21/03/2020,MN,great pyrneese,No,He has a slight limp that comes and goes. Xrays don't show cancer or any breaks/fractures. He goes back in may 1st for weakness in rear left leg. He walks okay but is putting most of the weight on the right rear left.,-0.007
21/08/2011,MN,Labrador Retriever,Yes,NA,-0.007
22/05/2019,NA,Australian Shepherd,No,Good health just want to either prevent cancer or catch it early,-0.007
3/3/13,M,Maltese,No,Lots of bumps and lumps throughout the body,-0.007
5/1/14,FS,mix breed gsd/cattle dog,No,She's almost 11 yrs old. Is being treated for allergies.  Seems to be losing weight,-0.007
16/02/2019,FS,Golden Retriever,Yes,Elevated globulin. Plasma electrophoresis negative for myeloma. Ultrasound 1 small splenic nodule (stable). Congenital Renal Dysplasia,-0.007
6/4/20,MN,Golden Retriever,No,NA,-0.007
31/12/2017,MN,Flat Coated Retriever,Yes,Developing thyroid issues and has lumps in joints chest and abdomen,-0.007
15/03/2015,M,Boxer,No,Boxer dogs are prone to cancer more than other breeds,-0.007
1/5/16,MN,pomeranian,No,No health concerns : just preventative screening,-0.007
15/04/2017,NA,German Shepherd Dog,No,NA,-0.007
8/10/12,FS,Golden Retriever,No,2 new bumps aspirated as lipomas,-0.007
6/9/17,FS,Dachshund,No,NA,-0.007
1/4/12,MN,Beagle,No,NA,-0.007
24/09/2018,FS,Dalmatian,No,NA,-0.007
18/05/2021,MN,Australian Cattle Dog,No,He gets lots of hot spots. Was on Apoquel but trying to take him off it. He’s a mix with husky 60% and Australian cattle dog 40% but looks more like a cattle dog with his spots ,-0.006
8/6/18,MN,German Shepherd/Great Pyrenees,Yes,Sizeable lumps have formed on Bear’s side and back; but he’s too reactive to safely transport or invite in-home care.,-0.006
1/11/11,MN,Welsh Corgi (Pembroke),No,Arthritis ,-0.006
1/1/52,F,Maltese,No,Polycythemia ,-0.006
20/01/2001,MN,Labrador Retriever,No,NA,-0.006
26/01/2015,FS,Golden Retriever,No,No health concerns othar than Annie is a senior golden retriever and very suscepitable to cancer.,-0.006
3/2/18,MN,Australian Shepherd,No,He will be 7 years old and just want to make sure there is nothing going on internally. He just started to get itchy lately and I just got results back from a sensitivity test so I am slowly eliminating those things he is sensitive to. ,-0.006
14/10/2014,FS,cockapoo,Yes,MPL surgery,-0.006
8/5/24,M,Australian Shepherd,No,None,-0.006
22/02/2014,MN,Dachshund,No,History of elevated liver enzymes. Currently on Denamarin daily and being monitored with regular labwork. ,-0.006
1/1/71,MN,Dobermann,Yes,history  of melanoma ,-0.006
18/06/2012,FS,Bulldog,Yes,NA,-0.006
21/12/2014,MN,goldendoodle,Yes,NA,-0.006
31/03/2014,FS,Mixed,No,Golden Retriever Mix,-0.006
6/8/15,M,German Shepherd Dog,No,Cancer Screening,-0.006
14/04/2014,M,NA,No,NA,-0.006
1/5/15,F,maltese poodle,Yes,NA,-0.005
6/10/15,FS,Australian Cattle Dog,No,NA,-0.005
16/03/2023,NA,Poodle,No,NA,-0.005
20/11/2013,F,German Shepherd Dog,No,Prolonged heavy heat cycle ,-0.005
1/8/16,FS,Irish Wolfhound,No,Portosystemic shunt atrial fibrillation,-0.005
24/05/2017,M,French Bulldog,Yes,NA,-0.005
28/01/2014,MN,Labrador Retriever,No,Elevated liver values on recent blood work,-0.005
22/07/2015,FS,Boxer,Yes,Recent issues with digestion increased thirst urination defication. ,-0.005
3/10/21,FS,Poodle,No,NA,-0.005
21/06/2012,MN,Golden Retriever,No,He has a current uti he has lumps all over his body,-0.005
1/4/24,FS,French Bulldog,Yes,Just want to know the biomarkers,-0.005
18/02/2012,MN,terrier mix,No,severe chronic allergies ,-0.005
20/09/2016,FS,Siberian Husky,No,Pancreatitis,-0.005
17/12/2020,MN,Golden Retriever,No,None but lost our first golden to cancer at 4 yo and it was horrific,-0.005
25/10/2017,F,German Shepherd Dog,No,NA,-0.005
28/03/2016,MN,Golden Retriever,No,Allergies lumps on skin ,-0.005
4/9/11,FS,Hungarian Short-Haired Pointer (Vizsla),No,Jus general concerns over aging and wellness,-0.005
1/4/13,FS,Nova Scotia Duck Tolling Retriever,No,NA,-0.005
17/04/2019,MN,Bernese Mountain Dog,No,NA,-0.005
12/3/15,MN,Labrador Retriever,No,NA,-0.005
18/10/2010,FS,mix,No,NA,-0.005
5/1/19,M,Shih Tzu,Yes,Elevated Platelets ,-0.004
15/09/2021,FS,American Staffordshire Terrier,No,Some increased urination,-0.004
20/03/2017,MN,Greyhound,No,NA,-0.004
3/12/22,M,Golden Doodle,No,None,-0.004
31/03/2018,MN,Poodle,No,Detect cancer early ,-0.004
27/09/2012,FS,Pit Bull,No,NA,-0.004
30/12/2019,MN,Golden Retriever,No,Breed is prone to cancer and want to rule out any cancer markers.,-0.004
13/04/2018,MN,Black And Tan Coonhound,Yes,Buddy is a rescue dog approx 8 years old from a rescue organization. He looks very close to the Brindle Plott Hound the official state dog of North Carolina. The AKC has recognized this breed since 2006. Not related to foxhound. I selected Black and Tan Coonhound as you don’t have the Plott hound listed His vet palpated his spine for what might be a small lump but no imagery done yet. Buddy is starting to slow down a bit but loves his long walks and shows no mental or cognitive decline.   ,-0.004
14/02/2022,MN,Australian Cattle Dog,No,None,-0.004
NA,MN,Golden Retriever,No,Von willibrands lipomas ,-0.004
3/9/17,M,Rottweiler,No,None,-0.004
20/07/2015,FS,mix,No,NA,-0.004
5/6/15,FS,Poodle Mix,No,NA,-0.004
11/5/17,MN,Australian Shepherd,No,Some lumps in the area of lymph nodes that vets think are lipomas but I just want to be (more) sure,-0.004
10/5/19,F,Bulldog,Yes,Red bumps on her skin that appear and disappear ,-0.004
25/06/2021,MN,Miniature Golden Doodle,No,None,-0.004
1/1/15,MN,Dachshund,No,NA,-0.004
10/1/14,MN,Labrador Retriever,No,Jack has some lumps and bumps on his body; at recent check up all were benign but I worry about cancer. Otherwise he is in good health.,-0.004
24/09/2012,FS,MIX,No,CHRONIC RENAL DISEASE AND WEIGHT LOSS,-0.004
31/07/2018,FS,Great Dane,No,Litter mate of hers was recently diagnosed with a MCT so just wanting to get a wellness check in the least invasive way possible. ,-0.004
21/05/2013,MN,Boston Terrier,Yes,Swollen Lymph Nodes,-0.004
23/10/2017,FS,Hungarian Short-Haired Pointer (Vizsla),No,NA,-0.004
14/08/2022,FS,Golden Retriever,No,N/a,-0.003
27/10/2010,MN,Cocker Spaniel,No,NA,-0.003
5/12/20,F,Dachshund,No,NA,-0.003
24/08/2013,FS,Labrador Retriever,Yes,Winnie had a splenectomy on 8/30/24 that came back from pathology as hemangiosarcoma.  We have taken a holistic approach to her post op care and she is doing great!  Doing this cancer screening to know if she still has the cancer cells in her body and based on that how to continue proceeding with her herbal supplements.,-0.003
28/05/2015,MN,Australian Cattle Dog,No,Over weight,-0.003
8/11/00,FS,Labrador Retriever,No,NA,-0.003
28/02/2014,MN,Australian Shepherd,No,NA,-0.003
4/6/14,FS,mix,No,Heart murmur Sebaceous Adenoma ,-0.003
28/08/2010,FS,Shar Pei,No,NA,-0.003
23/01/2000,MN,belgian maliones,Yes,NA,-0.003
16/06/2001,FS,Golden Retriever,No,NA,-0.003
7/10/18,MN,Boston Terrier,No,NA,-0.003
5/6/13,MN,Siberian Husky,No,NA,-0.003
12/9/19,F,Boxer,No,NA,-0.003
4/12/23,FS,bernadoodle,No,NA,-0.003
16/10/2011,MN,Standard Schnauzer,Yes,Mother and sister had Lymnoma and passed away. ,-0.003
26/10/2014,FS,American Staffordshire Terrier,No,Age couple bumps,-0.003
1/2/19,FS,American Staffordshire Terrier,No,n/a,-0.002
26/03/2014,MN,English Springer Spaniel,No,Recent Prostatitis and complications from neuter surgery,-0.002
1/7/15,M,Pameranian/Yorkie,No,Thyroid / Alergies,-0.002
28/02/2024,MN,American Staffordshire Terrier,Yes,being proactive on cancer screening since we do not know their dna they are mutts  and there is no where to check that ,-0.002
6/3/14,MN,Labrador Retriever,No,None,-0.002
23/06/2015,FS,Poodle,No,None she’s very healthy  and still has puppy-like energy for being nearly 10 years old. ,-0.002
19/09/2018,MN,Golden Retriever,No,Allergies itching occasional wetting himself weight loss (in the past) ,-0.002
18/09/2019,FS,NA,Yes,There is a small lump that could just be fat/nothing,-0.002
15/11/2015,FS,Labrador Retriever,No,shes approaching 10 years old and we want to make sure shes clean ,-0.002
5/3/17,M,Golden Retriever,Yes,just had splecnectomy want to do a cancer screening test,-0.002
5/2/16,FS,Beagle,No,NA,-0.002
12/6/21,FS,St. Bernard,Yes,Suspect osteosarcoma,-0.002
14/07/2017,M,Bernese Mountain Dog,Yes,cancer risks,-0.002
30/05/2021,NA,Golden Retriever,No,NA,-0.002
3/9/12,MN,English Shepherd,Yes,Healthy. Has some arthritis and a lot of lipomas,-0.002
25/09/2012,MN,Golden Retriever,Yes,Milo was recently diagnosed with DCM. During his ultrasound a 1” lesion was found on his spleen. Because of his heart surgery was not recommended.,-0.002
21/09/2021,MN,Mut,Yes,Overall health or cancer screening ,-0.002
8/12/16,F,mix,No,cancer concern with lumps want to check before investing in TPLO surgery,-0.002
17/06/2020,FS,Golden Retriever,Yes,Cancer concerns,-0.002
15/11/2021,FS,mix ,Yes,She is loosing weight! Itchy paws ! Some food allergies ,-0.002
2/11/14,F,Labrador Retriever,Yes,Generally lethargic maybe just older age but not sure so just checking,-0.001
7/4/19,FS,Pyrenean Mountain Dog,No,None,-0.001
1/10/16,MN,Maltese,No,NA,-0.001
17/07/2010,FS,Miniature Dachshund,No,NA,-0.001
11/4/12,MN,Mixed,No,Minor heart murmur. Also concerned about potential cancer. Neurologic concerns also.,-0.001
21/08/2020,FS,Labrador Retriever,No,Moving a little slower,-0.001
27/01/2018,FS,Golden Retriever,No,lypoma's,-0.001
1/4/10,FS,mixed breed,Yes,NA,-0.001
1/8/14,FS,Mixed breed,No,She has a lot of skin allergies. I don’t think this has anything to do with cancer though.,-0.001
6/9/13,MN,Cairn Terrier,No,Obesity,-0.001
16/04/2018,FS,Golden Retriever,No,Allergies. I am always concerned about cancer with goldens as well. I have lost all of my previous goldens to cancer.,-0.001
4/7/24,M,Australian Cattle Dog,No,He has a small trachea and got neutered at 7 weeks.,-0.001
4/8/12,NA,Shih Tzu,No,None,-0.001
NA,MN,mix,No,Lipomas that have been tested through aspiration. Want to be abundantly cautious ,-0.001
8/4/10,FS,Chihuahua,No,Gingivitis Arthritis Puritis  Left grade 3/6 heart murmur,-0.001
23/12/2018,FS,Labrador Retriever,No,Prone to lumps and bumps. Everything has been benign so far.,-0.001
28/01/2016,MN,Golden Retriever,No,history of plasma cell tumors,-0.001
NA,M,Labrador Retriever,No,NA,-0.001
28/05/2018,M,Bernese Mountain Dog,No,Recent change in appetite,-0.001
5/1/13,M,Dobermann,No,NA,-0.001
3/12/15,MN,German Shepherd Dog,Yes,hypothyroid not responding to meds rule out cancer,-0.001
23/04/2019,MN,Golden Retriever,Yes,Buoy has a lot of relatives pass away from cancer. ,-0.001
14/02/2014,FS,Cocker Spaniel,Yes,AGASACA - removed clean margins ,0.001
18/11/2015,MN,Goldendoodle,Yes,He has fatty bumps around his chest belly areas. We have him checked in Vet routinely but still want to closely monitor them to make sure Noodle is fine,0.001
14/04/2014,MN,Chow Chow,Yes,Hard to tell b/c he was born w/ thyroid issues and of course he's 'old' now. Certain days he seems really off but okayish. I've had a few lumps checked which were fatty deposits and his wellness checks always go well with him having bloodwork every 6 months. Still something gnawing at me so I just want to be sure he's OK since we have these incredible test(s) now. Thank you! ,0.001
6/3/21,M,Golden Retriever,No,NA,0.001
4/10/17,F,shepsky,No,NA,0.001
27/05/2020,M,Goldendoodle,No,NA,0.001
20/08/2020,MN,Bulldog,Yes,NA,0.001
12/12/16,FS,Pyrenean Mountain Dog,No,getting older,0.001
14/06/2024,FS,mix,No,NA,0.001
15/07/2014,FS,Rottweiler,No,Afraid b/c Rottweilers get osteosarcoma & lymphoma ,0.001
11/1/16,NA,German Short- Haired Pointing Dog,No,GSP getting older shady has typical Addison’s Disease and we lost our other GSP to hemangiasarcoma so wanting to be proactive and catch anything possibly nefarious early,0.001
25/05/2010,MN,Shiba,No,arthritis and obesity,0.001
26/01/2012,M,Shih Tzu,Yes,Some weight loss and constipation,0.001
19/04/2016,MN,Golden Retriever,Yes,aging ,0.001
1/6/13,MN,Bichon Mix,Yes,Subcutaneous Hemangiosarcoma 2023,0.001
1/2/10,MN,Tibetan Spaniel,No,NA,0.001
10/7/13,M,Golden Retriever,Yes,NA,0.001
8/6/14,M,Labrador Retriever,No,NA,0.001
25/12/2017,M,labradoodle,No,Atypical Addison’s disease high liver enzymes ,0.001
4/5/19,MN,Golden Retriever,Yes,Bloody nose and watery eye,0.001
13/06/2001,FS,Golden Retriever,No,NA,0.001
2/2/18,MN,Golden Retriever,No,NA,0.001
1/5/13,MN,Schnauzer,Yes,Highly elevated calcium (16.0). History of anal gland cancer (tumor removed in 2022),0.001
4/8/13,FS,Labrador Retriever,No,NA,0.001
25/09/2013,MN,Golden Retriever,No,panting mobility,0.001
21/04/2001,FS,Cavalier King Charles Spaniel,No,NA,0.001
16/08/2022,M,Flat Coated Retriever,No,NA,0.002
24/05/2019,M,French Bulldog,No,he has allergy issues and IVDD,0.002
14/10/2019,FS,Golden Retriever,No,NA,0.002
5/3/21,F,Maremma And The Abruzzes Sheepdog,Yes,Losing weight crusty eyes skin problems,0.002
15/11/2016,MN,English Bulldog,No,Tonka is an AMERICAN BULLY. His breed was not listed in your dropdown menu. has a myriad of lumps all over his body. He was born with congenital bilateral elbow luxation. He has sever OA all over IVDD Spondylosis Bilateral CCL disease Bilateral hip dysplasia. Outside of his ortho issues he is very healthy. The lumps are suspected to be fibroids/fibromas. His bloodwork is very good. Slow thyroid. He is on no pharmaceuticals. Raw fed and we use a variety of non synthetic supplements/nutraceuticals. He has had 2 rounds of stem cell injections beginning in August 2022,0.002
31/07/2016,FS,Golden Retriever,Yes,None,0.002
23/07/2019,MN,Labrador Retriever,No,He has allergies - chicken turkey environmental ,0.002
26/02/2019,FS,Dachshund,No,NA,0.002
31/01/2015,MN,Rhodesian Ridgeback,No,Senior dog; has several benign masses.,0.002
30/03/2020,FS,American Foxhound,No,NA,0.002
4/11/16,FS,Bernese Mountain Dog,No,NA,0.002
11/1/16,MN,Golden Retriever,No,previous mast cell tumor ,0.002
27/08/2017,MN,Siberian Husky,No,Cooper has hyperkerotosis and looking to see if it’s a skin issue or a deeper concern,0.002
26/12/2018,MN,Bernese Mountain Dog,No,Cancer due to age and breed ,0.002
2/7/14,MN,mix,No,Hypertension ,0.002
6/4/12,FS,Chihuahua,No,Heart murmur ataxia isosthenuria,0.002
15/08/2013,MN,Golden Retriever,Yes,older Golden Retriever,0.002
9/11/15,MN,Yorkshire Terrier,Yes,NA,0.002
NA,MN,Golden Retriever,Yes,NA,0.002
18/11/2015,FS,Labrador Retriever,Yes,history of mast cell tumors sudden change in appetite,0.002
10/10/16,M,NA,Yes,N/A,0.002
23/02/2014,MN,cur,No,NA,0.002
1/1/14,F,Golden Retriever,No,NA,0.002
21/11/2011,MN,NA,No,senior dog with multiple lipomas,0.002
15/02/2013,M,American Staffordshire Terrier,Yes,I just want to make sure he isn’t high risk for cancer ,0.002
15/04/2012,M,Shih Tzu,Yes,Tumor growths around the anal region,0.002
4/1/12,FS,St. Bernard,No,NA,0.002
1/6/14,F,Border Collie,Yes,Felt a few lumps on her in node areas does have dental issues happening,0.003
10/10/12,F,Labrador Retriever,Yes,Cushings - elevated liver enzymes,0.003
30/04/2018,MN,Golden Retriever,Yes,NA,0.003
22/10/2018,MN,Golden Retriever,No,None,0.003
3/6/20,FS,Golden Retriever,No,Brie is turning 5 this year and is starting to get beign lumps on her body so just wnat to confirm she is still healthy,0.003
21/10/2017,FS,Shiba,Yes,Hx of UTI and Bladder stone. ,0.003
26/11/2017,NA,Golden Retriever,Yes,NA,0.003
NA,M,Golden Retriever,Yes,He’s a golden. They get cancer. ,0.003
1/5/12,M,Dachshund,No,Pancreatitis ,0.003
16/12/2017,MN,Poodle,Yes,NA,0.003
7/4/18,MN,Golden Retriever,Yes,May have GRPU,0.003
29/03/2018,MN,Labradoodle,Yes,Oral melanocytic neoplasm removed from oral cavity in 8/2024,0.003
10/8/11,FS,Labrador Retriever,Yes,Losing weight has bladder wall inflammation,0.003
1/12/12,FS,Boxer,Yes,Lethargy and excessive urination  ,0.003
24/05/2021,M,Shetland Sheepdog,No,None,0.003
31/12/2018,M,Golden Retriever,No,Brother passed away month ago.,0.003
2/8/24,FS,American Staffordshire Terrier,No,None at this time,0.003
8/5/14,FS,mix,Yes,Mucocele homogenous mass on the tail of the spleen 3 cm heterogeneous mass cranial pole of the left adrenal- several hyperechoic nodules within the mass colon thickened right kidney is smaller with slightly irregular contour ,0.003
1/1/12,FS,mixed breed,Yes,Constantly tired and not full of energy. Panting a lot and anxious. ,0.003
16/07/2024,M,Boxer,No,Just being proactive,0.003
18/08/2020,M,Golden Retriever,No,Allergies Anxiety,0.003
13/10/2021,FS,Scottish Terrier,Yes,nothing we just had another dog diagnosed with metastatic lung cancer ,0.003
19/04/2022,M,Golden Retriever,No,NA,0.003
4/8/12,M,Labrador Retriever,No,NA,0.003
31/10/2014,M,Golden Retriever,No,NA,0.003
1/2/17,MN,Yorkshire Terrier,No,NA,0.004
1/1/61,FS,border collie mix,No,NA,0.004
NA,F,German Shepherd Dog,No,NA,0.004
22/05/2016,F,Welsh Corgi (Pembroke),No,Pre-diabetic ,0.004
1/3/16,FS,Mutt,No,Senior dog,0.004
1/12/21,MN,Golden Retriever,No,None,0.004
4/7/17,F,Labrador Retriever,Yes,Lipomas ,0.004
12/8/11,NA,Boston Terrier,No,Allergies ,0.004
6/12/13,M,Chow Chow,Yes,food allergies arthritis ,0.004
7/8/17,FS,Golden Retriever,Yes,Potiental cancer. She had a mast cell tumor removed earlier this year and goldens are prone to cancer. ,0.004
7/3/19,MN,German Shepherd Dog,No,n/a,0.004
8/4/15,MN,Labradoodle,No,Had mast cell tumor 2 years ago.,0.004
23/01/2012,MN,Alaskan Malamute,No,NA,0.004
5/2/18,FS,Golden Retriever,No,Getting older growing lipomas,0.005
5/8/19,FS,Flat Coated Retriever,No,None,0.005
21/12/2016,NA,Welsh Corgi (Pembroke),No,NA,0.005
1/3/16,M,Dobermann,Yes,Concerned he may have cancer. He is having mild seizures and sever pain with movement ,0.005
13/03/2013,MN,Miniature Schnauzer,No,NA,0.005
30/07/2015,FS,Shiba Inu x Pomeranian ,No,Increased snoring nasal noises,0.005
19/07/2010,FS,Yorkshire Terrier,No,NA,0.005
15/09/2009,MN,Chihuahua,Yes,Tank has been a finicky eater for the past year and he was never like that before.  ,0.005
18/07/2024,MN,Pyrenean Mountain Dog,No,Giant breed. Family history of Osteosarcoma (dad’s sister was diagnosed) ,0.005
8/12/16,MN,mix,No,NA,0.005
NA,MN,Golden Retriever,Yes,History of mast cell tumor that was removed with clean margins. ,0.005
15/09/2012,MN,Labrador Retriever,No,none,0.005
4/5/16,MN,Golden Retriever,No,Want to make sure doesn’t have cancer. ,0.005
1/1/11,FS,Chihuahua,No,NA,0.005
31/12/1217,NA,Golden Retriever,No,Slight weight loss,0.005
26/03/2020,FS,Golden Retriever,No,None,0.005
7/10/14,FS,Labrador Retriever,Yes,Multiple presumed lipomas hx of oral squamous cell carcinoma ,0.005
27/03/2014,MN,Australian Cattle Dog,No,NA,0.005
7/3/19,FS,German Shepherd Dog,No,NA,0.005
22/07/2022,MN,Labrador Retriever,No,NA,0.005
18/01/2018,FS,German Shepherd Dog,Yes,Small masses on her tail,0.006
22/10/2017,MN,Chihuahua,No,anxiety anal gland issues,0.006
10/1/24,M,Golden Retriever,Yes,I want to see if he will have cancer ,0.006
26/01/2020,M,German Shepherd Dog,No,None,0.006
18/07/2022,FS,Australian Cattle Dog,No,Skin allergies ,0.006
28/07/2015,F,Golden Retriever,No,NA,0.006
14/03/2019,FS,Terrier Mix,No,none,0.006
17/08/2015,M,Pekingese,No,NA,0.006
11/11/18,NA,Golden Retriever,No,NA,0.006
6/7/11,MN,Bichon Frise,Yes,none,0.006
5/7/16,MN,Yorkshire Terrier,Yes,vomit less/no control bowel/bladder lethargic poor dentition,0.006
30/06/2021,NA,Golden Retriever,No,None. Wellness check so I know if I should be looking for anything moving forward.,0.006
7/8/18,FS,Golden Retriever,No,Cancer risk of my golden retriever,0.006
20/08/2001,MN,Bloodhound,No,NA,0.006
1/4/13,MN,Labrador Retriever,No,Weight loss over past 2 years,0.006
1/1/14,F,Bull Terrier Mix,No,Aging,0.006
1/2/16,MN,Pomsky,No,Weight eye draining breating ,0.006
1/3/13,NA,Basset Hound,Yes,NA,0.006
25/05/2017,M,American Staffordshire Terrier,Yes,NA,0.006
12/7/24,MN,Golden Retriever,No,NA,0.006
6/6/15,FS,Golden Retriever,No,NA,0.006
31/10/2014,MN,Australian Cattle Dog,No,Early Cataracts Seizures Right Leg Femur Head Removed (rescued as injured Dog hit by car from rescue),0.006
10/9/09,NA,American Staffordshire Terrier,Yes,Concerning wound on her ,0.006
15/03/2018,FS,Chihuahua,No,Lactating patella,0.006
26/12/2012,NA,Golden Retriever,No,In good health ,0.006
30/11/2018,FS,Golden Retriever,No,None ,0.006
1/1/18,NS,Unknow,No,Healthy dog,0.006
1/3/24,MN,NA,No,Arthritis ,0.006
10/9/21,FS,australian cattle dog mix ,No,We just need to make sure she is healthy ,0.007
1/2/25,NA,Labrador Retriever,No,History of parvo ,0.007
9/5/15,FS,Siberian Husky,No,General aging ,0.007
2/7/20,M,Great Dane,Yes,I found a lump on his belly,0.007
21/03/2021,NA,German Shepherd Dog,Yes,DNA says high risk for mast cell tumor and has already had melanoma on her leg,0.007
30/06/2016,FS,Golden Retriever,Yes,Has had splenectomy for hemangiosarcoma previously,0.007
3/12/24,MN,French Bulldog,No,He’s healthy!,0.007
13/09/2019,FS,Golden Retriever,No,Allergies ,0.007
2/11/21,NA,Bernese Mountain Dog,No,Sensitive stomach ,0.007
4/5/16,F,Labrador Retriever,No,NA,0.007
7/2/14,MN,Australian Shepherd,No,Decreased energy,0.007
19/06/2015,FS,Pug,No,None,0.007
1/4/17,FS,Pekingese,No,Mia's been pooping at random places lately (last few weeks). Not sure if it's rebellion for not getting enough walks or if it's a sign something is off.,0.007
31/07/2016,MN,Mix,Yes,Previous history of Low grade mast cell tumor over left lateral elbow -very narrow biopsy margins. Underwent electrochemo in May/June 2024. No clinical recurrence.  ,0.007
8/6/17,FS,English Setter,Yes,Ella had 2 small lumps in 2024 that were discovered to be low grade cancer. Both removed. One discovered in May and one in June. She has always had lypomas that we regularly test with her vet. I’m worried about what I can’t see — and catching anything as early as possible. ,0.007
20/04/2015,FS,goldendoodle,No,Previously had meibomian gland tumors frozen off (now has dry eyes) has many lipoma bumps,0.007
25/06/2016,FS,Rottweiler,No,None,0.007
22/09/2017,FS,American Staffordshire Terrier,No,Puppies had cancer ,0.007
3/2/18,FS,Golden Retriever,No,Joy is healthy I just want to make sure she doesn’t have cancer markers.,0.007
14/11/2017,FS,Golden Retriever,No,Benign lumps: concern for cancer. ,0.007
1/8/12,F,mix,Yes,bwk is still abnormal so I am concerned with it at this time and recommend further workup. Discussed possible causes with cancer at top of list unfortunately.,0.007
11/1/21,M,Golden Retriever,Yes,Cancer ,0.007
28/06/2016,M,NA,No,He has been throwing up on and off the past couple of weeks.,0.007
30/04/2017,MN,Boston Terrier,No,None / overweigh ,0.007
01/01/1012,MN,Pitbull Mix,Yes,Several suspicious lumps possibly lipomas,0.007
31/12/1208,NA,Poodle,No,NA,0.007
10/5/22,MN,French Bulldog,No,NA,0.007
1/2/12,FS,American Staffordshire Terrier,No,NA,0.007
24/03/2012,NA,Scottish Terrier,No,Joey has recently gone deaf.  He had a mass cut out of his lung a few months ago; no further treatment needed.  Because Scotties are high risk for cancer I keep an eye on him.,0.008
15/04/2013,FS,German Shepherd Dog,No,She is in remission from lymphoma (Type B) she is a mixed breed dog GSD/Mal & a few others not sure why that's not an option),0.008
17/12/2015,MN,German Shepherd Dog,No,Had Testicular cancer at the age of 4,0.008
13/11/2018,M,Pitbull,No,Would just like to make sure there’s no cancer in there that we aren’t catching ,0.008
27/01/2015,FS,American Staffordshire Terrier,No,None at this time. Mostly we want to be sure we don't miss something. Our last dog had a liver tumor. We never found out if it was cancer because she passed shortly after surgery. ,0.008
31/01/2018,M,Mastiff,No,None sister died of Lymphoma at 4yo,0.008
31/12/1211,MN,Golden Retriever,No,NA,0.008
20/01/2015,MN,Chihuahua,No,NA,0.008
15/08/2013,FS,Labrador Retriever,No,History of mast cell tumors,0.008
15/06/2014,MN,Labrador Retriever,No,Diabetes Arthritis Cataracts  ,0.008
15/03/2019,MN,Labrador Retriever,No,back pain (currently doing chiropractic/acupuncture) some neurological events a few months ago 3 weeks ago-dribbling a significant amount of urine after fully urinating,0.008
14/01/2019,FS,Siberian Husky,No,N/A,0.008
15/12/2012,FS,Australian Shepherd,Yes,Family history of Hemangiosarcoma ,0.008
23/02/2018,MN,Yorkshire Terrier,No,A small bread dog whim I love dearly that was purchased from a breeder. Want to ensure he is going to live a long healthy life.  ,0.008
2/10/19,FS,Border Collie,No,None,0.008
15/03/2013,MN,mixed breed,No,NA,0.008
31/07/2017,MN,German Short- Haired Pointing Dog,No,NA,0.008
1/10/16,FS,Chihuahua,No,obesity,0.008
16/02/2016,FS,Lab Mix,Yes,Intermittent diarrhea and vomiting lethargic,0.008
1/8/15,MN,Labrador Retriever,Yes,Ruleout nose cancer presently,0.008
1/5/23,FS,French Bulldog,No,NA,0.008
31/07/2016,FS,St. Bernard,No,NA,0.008
28/07/2022,M,Dalmatian,No,NA,0.008
31/12/2015,MN,Beagle,No,No specific concerns at this time. With him getting older I just want to make sure he is healthy as I did lose a beagle to a systemic lymphatic cancer.,0.009
11/8/18,M,Australian Cattle Dog,No,NA,0.009
31/05/2015,MN,Shetland Sheepdog,No,NA,0.009
8/10/12,FS,mixed,No,NA,0.009
5/5/16,MN,Border Collie,No,Seizures,0.009
12/12/21,NA,Golden Retriever,No,None,0.009
31/05/2017,MN,Weimaraner,No,NA,0.009
1/10/14,FS,Whippet,No,Mass under tail otherwise wellness screen,0.009
5/6/17,FS,mixed,Yes,Itchy skin with different symptoms and never gets relief through going to the vet and trying many different allergy trials ,0.009
10/9/11,FS,Shih Tzu,No,elevated enzymes/liver issue,0.009
28/08/2020,FS,bernadoodle,No,NA,0.009
9/12/12,M,Mixed,No,Healthy up to this point but getting older and I'm concerned about cancer since we lost our other dog to Cancer.,0.009
30/10/2018,MN,Pekingese,No,NA,0.009
30/03/2017,F,Labrador Retriever,No,NA,0.009
15/11/2008,FS,Dachshund,No,NA,0.009
5/6/21,F,Dalmatian,No,NA,0.009
1/3/23,F,pomeranian ,No,NA,0.009
20/11/2021,F,Golden Retriever,No,NA,0.009
1/1/61,FS,Golden Retriever,No,NA,0.01
5/2/22,F,Chesapeake Bay Retriever,No,NA,0.01
26/12/2016,MN,German Shepherd Dog,No,Has shown elevated kidney levels in the past but not recently.,0.01
18/03/2013,FS,Jack Russell Terrier,No,Arthritis Sensitive Stomach,0.01
4/4/21,MN,Labrador Retriever,No,NA,0.01
